id,name,url
1,Cannabis Indica,http://cannabismuseum.com/omeka/api/tags/1
2,Indica,http://cannabismuseum.com/omeka/api/tags/2
3,Hash,http://cannabismuseum.com/omeka/api/tags/3
4,Hasheesh,http://cannabismuseum.com/omeka/api/tags/4
5,Hashish,http://cannabismuseum.com/omeka/api/tags/5
6,Bottle,http://cannabismuseum.com/omeka/api/tags/6
8,Cannabis Sativa,http://cannabismuseum.com/omeka/api/tags/8
9,Sativa,http://cannabismuseum.com/omeka/api/tags/9
10,Parke Davis & Co.,http://cannabismuseum.com/omeka/api/tags/10
11,Opium,http://cannabismuseum.com/omeka/api/tags/11
12,Specific Medicines,http://cannabismuseum.com/omeka/api/tags/12
13,Children,http://cannabismuseum.com/omeka/api/tags/13
16,Philadelphia,http://cannabismuseum.com/omeka/api/tags/16
17,Pregnancy,http://cannabismuseum.com/omeka/api/tags/17
19,Antinausea,http://cannabismuseum.com/omeka/api/tags/19
20,Asthma,http://cannabismuseum.com/omeka/api/tags/20
21,Cough Cure,http://cannabismuseum.com/omeka/api/tags/21
22,la grippe,http://cannabismuseum.com/omeka/api/tags/22
23,lungs,http://cannabismuseum.com/omeka/api/tags/23
24,Atlanta,http://cannabismuseum.com/omeka/api/tags/24
25,Veterinary,http://cannabismuseum.com/omeka/api/tags/25
26,Postcard,http://cannabismuseum.com/omeka/api/tags/26
28,Cannabis,http://cannabismuseum.com/omeka/api/tags/28
29,Chloroform,http://cannabismuseum.com/omeka/api/tags/29
30,Columbus,http://cannabismuseum.com/omeka/api/tags/30
32,Marinol,http://cannabismuseum.com/omeka/api/tags/32
33,Roxane Laboratories,http://cannabismuseum.com/omeka/api/tags/33
34,Marihuana,http://cannabismuseum.com/omeka/api/tags/34
35,Marijuana,http://cannabismuseum.com/omeka/api/tags/35
37,Embossed,http://cannabismuseum.com/omeka/api/tags/37
38,New York,http://cannabismuseum.com/omeka/api/tags/38
39,Schieffelin,http://cannabismuseum.com/omeka/api/tags/39
40,Anodyne,http://cannabismuseum.com/omeka/api/tags/40
41,Baltimore,http://cannabismuseum.com/omeka/api/tags/41
43,Hypnotic,http://cannabismuseum.com/omeka/api/tags/43
44,Cincinnati,http://cannabismuseum.com/omeka/api/tags/44
45,Merrell,http://cannabismuseum.com/omeka/api/tags/45
46,Arsenic,http://cannabismuseum.com/omeka/api/tags/46
47,Iron,http://cannabismuseum.com/omeka/api/tags/47
48,Michigan,http://cannabismuseum.com/omeka/api/tags/48
50,Hyoscyamus,http://cannabismuseum.com/omeka/api/tags/50
51,Morphine,http://cannabismuseum.com/omeka/api/tags/51
52,Upjohn,http://cannabismuseum.com/omeka/api/tags/52
53,Corn Cure,http://cannabismuseum.com/omeka/api/tags/53
54,Indianapolis,http://cannabismuseum.com/omeka/api/tags/54
55,Ether,http://cannabismuseum.com/omeka/api/tags/55
56,Illinois,http://cannabismuseum.com/omeka/api/tags/56
58,Calomel,http://cannabismuseum.com/omeka/api/tags/58
59,Cocaine,http://cannabismuseum.com/omeka/api/tags/59
60,Doctors kit,http://cannabismuseum.com/omeka/api/tags/60
61,Valerian Root,http://cannabismuseum.com/omeka/api/tags/61
62,WWI,http://cannabismuseum.com/omeka/api/tags/62
63,Hemp Seeds,http://cannabismuseum.com/omeka/api/tags/63
64,Detroit,http://cannabismuseum.com/omeka/api/tags/64
65,MI,http://cannabismuseum.com/omeka/api/tags/65
67,Bronchitis,http://cannabismuseum.com/omeka/api/tags/67
69,Kansas City,http://cannabismuseum.com/omeka/api/tags/69
70,Montreal,http://cannabismuseum.com/omeka/api/tags/70
71,Washington D.C.,http://cannabismuseum.com/omeka/api/tags/71
72,Lilly,http://cannabismuseum.com/omeka/api/tags/72
73,Australia,http://cannabismuseum.com/omeka/api/tags/73
75,Croup,http://cannabismuseum.com/omeka/api/tags/75
76,Diarrhea,http://cannabismuseum.com/omeka/api/tags/76
77,Influenza,http://cannabismuseum.com/omeka/api/tags/77
78,Neuralgia,http://cannabismuseum.com/omeka/api/tags/78
79,Poison Bottles,http://cannabismuseum.com/omeka/api/tags/79
80,Addiction,http://cannabismuseum.com/omeka/api/tags/80
81,Mental Health,http://cannabismuseum.com/omeka/api/tags/81
82,Smoke,http://cannabismuseum.com/omeka/api/tags/82
83,England,http://cannabismuseum.com/omeka/api/tags/83
84,Elixirs,http://cannabismuseum.com/omeka/api/tags/84
85,Nervine,http://cannabismuseum.com/omeka/api/tags/85
86,Hysteria,http://cannabismuseum.com/omeka/api/tags/86
89,Gelatin,http://cannabismuseum.com/omeka/api/tags/89
90,Ohio,http://cannabismuseum.com/omeka/api/tags/90
91,Cobalt Blue,http://cannabismuseum.com/omeka/api/tags/91
92,Tincture,http://cannabismuseum.com/omeka/api/tags/92
93,Paper Label,http://cannabismuseum.com/omeka/api/tags/93
94,2010s,http://cannabismuseum.com/omeka/api/tags/94
95,consumption,http://cannabismuseum.com/omeka/api/tags/95
96,Patent Medicine,http://cannabismuseum.com/omeka/api/tags/96
97,Tuberculosis,http://cannabismuseum.com/omeka/api/tags/97
99,Fever,http://cannabismuseum.com/omeka/api/tags/99
100,1980s,http://cannabismuseum.com/omeka/api/tags/100
101,2000s,http://cannabismuseum.com/omeka/api/tags/101
102,1990s,http://cannabismuseum.com/omeka/api/tags/102
103,1970s,http://cannabismuseum.com/omeka/api/tags/103
104,1960s,http://cannabismuseum.com/omeka/api/tags/104
105,LSD,http://cannabismuseum.com/omeka/api/tags/105
106,Psychedelic,http://cannabismuseum.com/omeka/api/tags/106
107,Acid,http://cannabismuseum.com/omeka/api/tags/107
108,1950s,http://cannabismuseum.com/omeka/api/tags/108
109,Don Wirtshafter,http://cannabismuseum.com/omeka/api/tags/109
110,Schlichten,http://cannabismuseum.com/omeka/api/tags/110
111,Schlichten Papers,http://cannabismuseum.com/omeka/api/tags/111
112,The Schlichten Papers,http://cannabismuseum.com/omeka/api/tags/112
114,Baudelaire,http://cannabismuseum.com/omeka/api/tags/114
115,Ecstasy,http://cannabismuseum.com/omeka/api/tags/115
116,MDMA,http://cannabismuseum.com/omeka/api/tags/116
117,Drug Abuse,http://cannabismuseum.com/omeka/api/tags/117
120,Hallucinogenic Drugs,http://cannabismuseum.com/omeka/api/tags/120
121,Religious Experience,http://cannabismuseum.com/omeka/api/tags/121
122,Signed by Author,http://cannabismuseum.com/omeka/api/tags/122
124,1930s,http://cannabismuseum.com/omeka/api/tags/124
125,Jesse Ventura,http://cannabismuseum.com/omeka/api/tags/125
126,Minnesota,http://cannabismuseum.com/omeka/api/tags/126
127,Americana,http://cannabismuseum.com/omeka/api/tags/127
128,Non-Cannabis,http://cannabismuseum.com/omeka/api/tags/128
129,1920s,http://cannabismuseum.com/omeka/api/tags/129
130,Blacklight,http://cannabismuseum.com/omeka/api/tags/130
131,Medical Marijuana,http://cannabismuseum.com/omeka/api/tags/131
132,Poster,http://cannabismuseum.com/omeka/api/tags/132
134,1900s,http://cannabismuseum.com/omeka/api/tags/134
135,Pipe,http://cannabismuseum.com/omeka/api/tags/135
136,1910s,http://cannabismuseum.com/omeka/api/tags/136
137,Norml,http://cannabismuseum.com/omeka/api/tags/137
138,Reefer,http://cannabismuseum.com/omeka/api/tags/138
140,Pulp Fiction,http://cannabismuseum.com/omeka/api/tags/140
141,Mota,http://cannabismuseum.com/omeka/api/tags/141
142,Prohibition,http://cannabismuseum.com/omeka/api/tags/142
143,Texas,http://cannabismuseum.com/omeka/api/tags/143
144,Bureau of Narcotics,http://cannabismuseum.com/omeka/api/tags/144
145,1940s,http://cannabismuseum.com/omeka/api/tags/145
146,1880s,http://cannabismuseum.com/omeka/api/tags/146
147,1840s,http://cannabismuseum.com/omeka/api/tags/147
148,Africa,http://cannabismuseum.com/omeka/api/tags/148
149,1860s,http://cannabismuseum.com/omeka/api/tags/149
150,Comic,http://cannabismuseum.com/omeka/api/tags/150
151,Kerry Drake,http://cannabismuseum.com/omeka/api/tags/151
152,1850s,http://cannabismuseum.com/omeka/api/tags/152
153,1500s,http://cannabismuseum.com/omeka/api/tags/153
154,Hemp,http://cannabismuseum.com/omeka/api/tags/154
155,Treasury Department,http://cannabismuseum.com/omeka/api/tags/155
156,1890s,http://cannabismuseum.com/omeka/api/tags/156
157,Catalog,http://cannabismuseum.com/omeka/api/tags/157
158,Concert,http://cannabismuseum.com/omeka/api/tags/158
159,Rock Concert,http://cannabismuseum.com/omeka/api/tags/159
160,Rock n' Roll,http://cannabismuseum.com/omeka/api/tags/160
161,1830s,http://cannabismuseum.com/omeka/api/tags/161
162,Journal,http://cannabismuseum.com/omeka/api/tags/162
163,1870s,http://cannabismuseum.com/omeka/api/tags/163
164,Bone,http://cannabismuseum.com/omeka/api/tags/164
165,1700s,http://cannabismuseum.com/omeka/api/tags/165
166,Assassin of Youth,http://cannabismuseum.com/omeka/api/tags/166
167,Signed,http://cannabismuseum.com/omeka/api/tags/167
168,Fillmore,http://cannabismuseum.com/omeka/api/tags/168
169,Scarab,http://cannabismuseum.com/omeka/api/tags/169
173,John Sinclair,http://cannabismuseum.com/omeka/api/tags/173
174,San Francisco,http://cannabismuseum.com/omeka/api/tags/174
175,Wayne Kramer,http://cannabismuseum.com/omeka/api/tags/175
176,Apothecary,http://cannabismuseum.com/omeka/api/tags/176
177,Pharmacy,http://cannabismuseum.com/omeka/api/tags/177
178,show globes,http://cannabismuseum.com/omeka/api/tags/178
179,Gordon Wasson,http://cannabismuseum.com/omeka/api/tags/179
180,Ketamine,http://cannabismuseum.com/omeka/api/tags/180
181,Michael Horowitz,http://cannabismuseum.com/omeka/api/tags/181
182,Timothy Leary,http://cannabismuseum.com/omeka/api/tags/182
183,Stamp,http://cannabismuseum.com/omeka/api/tags/183
184,Tax Stamp,http://cannabismuseum.com/omeka/api/tags/184
185,Louisiana,http://cannabismuseum.com/omeka/api/tags/185
186,Smoking,http://cannabismuseum.com/omeka/api/tags/186
187,Statue,http://cannabismuseum.com/omeka/api/tags/187
188,Yaka,http://cannabismuseum.com/omeka/api/tags/188
189,Botanical,http://cannabismuseum.com/omeka/api/tags/189
190,Cannabis Spuria,http://cannabismuseum.com/omeka/api/tags/190
191,Chanvre,http://cannabismuseum.com/omeka/api/tags/191
193,Hanf,http://cannabismuseum.com/omeka/api/tags/193
194,Water Colored,http://cannabismuseum.com/omeka/api/tags/194
195,Comic Book,http://cannabismuseum.com/omeka/api/tags/195
196,Graphic Novel,http://cannabismuseum.com/omeka/api/tags/196
197,1820s,http://cannabismuseum.com/omeka/api/tags/197
198,1600s,http://cannabismuseum.com/omeka/api/tags/198
199,1810s,http://cannabismuseum.com/omeka/api/tags/199
200,1800s,http://cannabismuseum.com/omeka/api/tags/200
201,Textile,http://cannabismuseum.com/omeka/api/tags/201
202,Medicine,http://cannabismuseum.com/omeka/api/tags/202
203,Eli Lilly,http://cannabismuseum.com/omeka/api/tags/203
204,Clinical,http://cannabismuseum.com/omeka/api/tags/204
205,Therapeutics,http://cannabismuseum.com/omeka/api/tags/205
206,Food,http://cannabismuseum.com/omeka/api/tags/206
207,French,http://cannabismuseum.com/omeka/api/tags/207
208,Paris,http://cannabismuseum.com/omeka/api/tags/208
209,Edinburgh,http://cannabismuseum.com/omeka/api/tags/209
210,Haschisch,http://cannabismuseum.com/omeka/api/tags/210
211,Handbook,http://cannabismuseum.com/omeka/api/tags/211
